date ,volume
"nov 06, 1987",8283
"nov 13, 1987",8283
"nov 20, 1987",8283
"nov 27, 1987",8283
"dez 04, 1987",8348
"dez 11, 1987",8348
"dez 18, 1987",8348
"dez 25, 1987",8348
"jan 01, 1988",8348
"jan 08, 1988",8395
"jan 15, 1988",8395
"jan 22, 1988",8395
"jan 29, 1988",8395
"fev 05, 1988",8353
"fev 12, 1988",8353
"fev 19, 1988",8353
"fev 26, 1988",8353
"mar 04, 1988",8306
"mar 11, 1988",8306
"mar 18, 1988",8306
"mar 25, 1988",8306
"abr 01, 1988",8306
"abr 08, 1988",8269
"abr 15, 1988",8269
"abr 22, 1988",8269
"abr 29, 1988",8269
"mai 06, 1988",8240
"mai 13, 1988",8240
"mai 20, 1988",8240
"mai 27, 1988",8240
"jun 03, 1988",8210
"jun 10, 1988",8210
"jun 17, 1988",8210
"jun 24, 1988",8210
"jul 01, 1988",8210
"jul 08, 1988",8189
"jul 15, 1988",8189
"jul 22, 1988",8189
"jul 29, 1988",8189
"ago 05, 1988",8128
"ago 12, 1988",8128
"ago 19, 1988",8128
"ago 26, 1988",8128
"set 02, 1988",8147
"set 09, 1988",8147
"set 16, 1988",8147
"set 23, 1988",8147
"set 30, 1988",8147
"out 07, 1988",8085
"out 14, 1988",8085
"out 21, 1988",8085
"out 28, 1988",8085
"nov 04, 1988",8026
"nov 11, 1988",8026
"nov 18, 1988",8026
"nov 25, 1988",8026
"dez 02, 1988",8035
"dez 09, 1988",8035
"dez 16, 1988",8035
"dez 23, 1988",8035
"dez 30, 1988",8035
"jan 06, 1989",8021
"jan 13, 1989",8021
"jan 20, 1989",8021
"jan 27, 1989",8021
"fev 03, 1989",7965
"fev 10, 1989",7965
"fev 17, 1989",7965
"fev 24, 1989",7965
"mar 03, 1989",7921
"mar 10, 1989",7921
"mar 17, 1989",7921
"mar 24, 1989",7921
"mar 31, 1989",7921
"abr 07, 1989",7880
"abr 14, 1989",7880
"abr 21, 1989",7880
"abr 28, 1989",7880
"mai 05, 1989",7843
"mai 12, 1989",7843
"mai 19, 1989",7843
"mai 26, 1989",7843
"jun 02, 1989",7726
"jun 09, 1989",7726
"jun 16, 1989",7726
"jun 23, 1989",7726
"jun 30, 1989",7726
"jul 07, 1989",7622
"jul 14, 1989",7622
"jul 21, 1989",7622
"jul 28, 1989",7622
"ago 04, 1989",7662
"ago 11, 1989",7662
"ago 18, 1989",7662
"ago 25, 1989",7662
"set 01, 1989",7662
"set 08, 1989",7641
"set 15, 1989",7641
"set 22, 1989",7641
"set 29, 1989",7641
"out 06, 1989",7644
"out 13, 1989",7644
"out 20, 1989",7644
"out 27, 1989",7644
"nov 03, 1989",7601
"nov 10, 1989",7601
"nov 17, 1989",7601
"nov 24, 1989",7601
"dez 01, 1989",7601
"dez 08, 1989",7565
"dez 15, 1989",7565
"dez 22, 1989",7565
"dez 29, 1989",7565
"jan 05, 1990",7512
"jan 12, 1990",7512
"jan 19, 1990",7512
"jan 26, 1990",7512
"fev 02, 1990",7399
